Empty #victoriapark during #londonlockdown #coronavirus #socialdistancing https://www.instagram.com/p/B_lPon9hlPE/?igshid=xjysy6b5t5bp
Coronavirus: Pret a Manger plans rent talks in bid to avoid closures 
@LucyLVReev Still no news on the if we will be extended or not will be good to be outside again #shielding Coronavirus: Shielders in England allowed outdoors again from Monday 
Here is just a snipet for those we are ready to queue up for the precious #coronavirus #COVID19 vaccine: Something that is never talked about. But of course... Brain-Damaged UK Victims of Swine Flu Vaccine to Get £60 Million Compensation https://ibt.uk/A0062Em via @IBTimesUK
Has anyone done a coronavirus version of the Tron light cycles game yet? But with joggers and their vapour trails... A morning jog survival game
"Coronavirus: Britain faces 'very dangerous moment' as lockdown eased, says top government adviser - Sky News "
#PAYCUTMPS Time for MPs LORDS Do right thing Min 20% PayCut RT @Lee1975b: #coronavirus #StayHomeSaveLives #StayAlert #SocialDistancing You bunch of selfish w*****s
