"How the #coronavirus led to a rise in online Islamophobic #HateSpeech My colleague, Roxana Khan-Williams, and I have examined the impacts of COVID-19 on #socialmedia. We’ve found that #COVID19 has been used by the far-right to peddle #Islamophobic hate."
Coronavirus crisis could cost UK more than six million jobs for good Predictions of a “culture changing” wave of redundancies and sackings come as the Government warns its furlough scheme will come to an end in November #CoronavirusCrisis #UK
