 The New Yorker What the Coronavirus Crisis Reveals About American Medicine 
Worcester Walmart store ordered closed after 23 employees test positive for coronavirus 
Thank you Chris Herren for joining The Upside w/ @AdamFinkelstein to discuss the challenges with #addiction during the pandemic. Must listen for anyone who is struggling or has friends or family that need help. https://www.yurview.com/featured/chris-herren-dealing-with-addition-during-the-coronavirus/ #coronavirus #covid @herren_wellness
Cyberscammers: Pay Up or We’ll Infect Your Family With Coronavirus https://www.thedailybeast.com/new-coronavirus-scam-threatenspay-up-or-well-infect-your-family-with-covid-19?source=twitter&amp;via=desktop via @thedailybeast
I totally missed this. Anyone else? Mike Pence staffer tests positive for COVID-19 coronavirus: White House - 
"Aren't you the same idiots who wished the coronavirus on all the ""boomers""? And he didn't say they ""deserve"" to die, just obviously it's different than some half their age dying."
 Missouri officials investigate coronavirus spread after Memorial Day parties 
(2) coronavirus fiasco (blame China for it); the economy (China's fault); our loss of influence in the world (China's Belt and Road initiative); need for an enemy to juice up its MAGA doofus base for the election (China replaces Russia because Putin has the Pee Tape).
