"Coronavirus: 99% confident that COVID-19 vaccine will work, says Chinese firm | World News | Sky News "
No US coronavirus cases were caught by airport temperature checks. Here's what has worked - CNN @flyethiopian.https://amp.cnn.com/cnn/2020/02/19/health/coronavirus-airport-temperature-checks/index.html#aoh=15821539361796&referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s …
" Three Serie A games in Italy on Sunday, including Inter Milan vs. Sampdoria, have been called off by the government after a coronavirus outbreak in Milan  Three Serie A games in Italy on Sunday, including Inter… https://www.instagram.com/p/B8403vNBvbv/?igshid=ep557w0dlymd …"
"RT @WorldBankAfrica: WATCH LIVE TOMORROW: Our experts: @Diarietou_WB @MauraL33 &amp; Young African leaders @joshuamawerere, @lordcudjoe, @riroj…"
"RT @EduCannotWait: Children already vulnerable &amp; affected by crises, incl. armed conflicts, forced displacement, natural disasters &amp; protra…"
