I thought the corona virus taught us that skin color don’t matter. No justice no peace!
"The World Health Organization (WHO) said it was declaring the coronavirus outbreak that has killed 170 people in China a global emergency, as cases spread to at least 18 countries. "
Read now on http://KUAM.com WHO calls Coronavirus “Public Health Emergency of International Concern” 
"A 61-year-old man has died from #pneumonia in the central Chinese city of #Wuhan in an #outbreak of SARS-related new-type #coronavirus.
https://www.straitstimes.com/asia/east-asia/china-reports-first-death-in-wuhan-pneumonia-outbreak …"
I wanna get coronavirus so everyone will pay attention to me
"Our status restricts us from acting on emergency events such as the Coronavirus pandemic. Our sister islands such as the CNMI, the MI and the FSM have imposed travel restrictions as means of prevention. Guam has to wait until the United States announces any travel restrictions. pic.twitter.com/Q1mAOVgxrl"
"Our status restricts us from acting on emergency events such as the Novel Coronavirus pandemic. Our sister islands such as the CNMI, the Marshall Islands, Palau and the FSM have already imposed travel restrictions as… https://www.instagram.com/p/B8FWVoBFm2H/?igshid=68m066w3ak35 …"
"Feel like whenever I sneeze now, I have to disclaim that I do NOT have coronavirus."
Report Suggests That Details Point To Coronavirus Coming From Chinese Lab https://www.dailywire.com/news/report-suggests-that-details-point-to-coronavirus-coming-from-chinese-lab/ …
RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…
Me and the boys praying and manifesting our thoughts to get rid of coronavirus. https://twitter.com/realDonaldTrump/status/1238599369466753026 …pic.twitter.com/RjR92h0Vqp
