A timeline of Trump's 100 days of deadly coronavirus denial - Mother Jones https://nzzl.us/ymoXaX8 via @nuzzel thanks @russchoma
"After aggressive mass testing, Vietnam says it contains coronavirus outbreak "
"China continues to pose a threat to the world by hiding information about the origin of the coronavirus, U.S. Secretary of State Mike Pompeo says. https://www.bloomberg.com/news/articles/2020-04-29/pompeo-says-china-responsible-for-outbreak-must-detail-origin via @bpolitics"
"COVID-19 caused strokes in young people who had mild coronavirus symptoms, NYC doctors say https://www.usatoday.com/story/news/health/2020/04/29/coronavirus-covid-19-caused-strokes-young-patients-nyc-doctors/3046447001/ via @usatoday"
