Vudeo of #Houthis while ordering people to close their stores in Bab al-Salam in #Yemen's #Sanaa minutes ago. #coronavirus 
"#Breaking #Houthis closed Bab Al-Salam market in #Yemen's #Sanaa after suspected coronavirus cases ,according to residents."
"Today's 5 confirmed cases of COVID-19 in my hometown Aden brings the total confirmed cases in #Yemen to 6. While it seems low, Yemen's been devastated by the genocidal Saudi/US-led war/blockade &amp; is therefore completely unequipped to test for cases or treat coronavirus patients. "
"1.Taha Al-Mutawakel’s claim that Houthis discovered Coronavirus treatment while world's labs couldn’t failed so far, is senseless &amp;hiding No’s. of infections due 2inefficiency of tests provided by WHO as he claim.Who failed 2diagnose the disease, how could he develop the vaccine? "
"Why do you need to flex the strength of military on Americans and risk the loss of more lives, spread of coronavirus and destruction of businesses and properties when you can do the right thing, order the arrest of 4 killers #commonsense"
"#امريكا_تنتفض #فيروس_كورونا_من_العذاب_الادنى #فيروس_جديد_قادم_قاصف_ومتين ""but you are atheist people and you will indeed see what you did not expect from the scheme of Allah’s unknown soldier (Corona-virus) the suffocator..."" 05-03-2020 http://www.bushra-islamia.com/showthread.php?p=324273"
