Model Projects 23K GA Deaths If Coronavirus Limits End In 4 Weeks http://dlvr.it/RVjq78
"Hi @AnaKasparian if you have a fever, you probably have coronavirus. LA county has wiped out Cold and Flu. "
Was excited to see Vermont pledging to do far more coronavirus testing then learned it's geared largely only to prisons and other restricted populations. Everyone needs testing but agree that those at most risk need to be tested first.
"#childrenunderattack we can’t forget the world is a dangerous place for so many in the world - with hot wars, not just the Coronavirus. Watch this video fro ⁦@UNICEF⁩ ⁦@StephMillerShow⁩ ⁦@fromthebunkerjr⁩ ⁦@robreiner⁩"
NFL PAY CUTS: Commissioner Roger Goodell has reduced his salary to $0 and other NFL employees will be taking pay cuts or furloughs due to the coronavirus pandemic. 
"GA Tops 2,000 Coronavirus Deaths, Hospital Cases Grow http://dlvr.it/RXgZ34"
