,Positive,Negative
26,Football: No positives from latest Premier League coronavirus tests ,Let’s give @VP some encouragement. Does #USA have any confidence in this highly unqualified man dealing with the #covid19 crisis? Oops wrong question. 
27,"SIA, Silkair and Scoot to cut capacity into China after demand hit by #coronavirus http://bit.ly/36D0yCp",Safety and health first! I’m sure the boys would feel terrible too if the concert went on and a covid19 spread happens because of it 
28,@ALIANational Have you got a response to Coronavirus? Need for book sanitation?,Wuhan pneumonia outbreak: Mystery illness 'caused by coronavirus' https://bbc.in/2s9Jm9p 
29,Wuhan virus: China says it has confidence and capability to win war against coronavirus ,China confirms new coronavirus as it investigates mystery Wuhan illness | South China Morning Post https://www.scmp.com/news/china/society/article/3045288/china-confirms-new-coronavirus-it-investigates-mystery-wuhan …
30,"#WuhanCoronavirus #WuhanVirus #Coronavirus #CoronavirusOutbreak #nCoV2020 Latest worldwide cases. Updated 7:35 am, Friday, 31 January 2020 (SGT)","China researchers discover genetic sequencing that possibly links new coronavirus strain to cluster of pneumonia cases in Wuhan city, reports @OliviaSiongCNA https://cna.asia/303JovT https://www.youtube.com/watch?v=jggndUgvhrk …"
31,"Number of Wuhan #coronavirus cases has officially surpassed SARS, showing that it is definitely more infectious than SARS. But the more important question is, will it continue to be less deadly? Fatality rate: - #2019nCoV (so far): 214/9,171 (2.3%) - SARS: 774/8,098 (9.6%)","China identifies new type of coronavirus from Sars family as source of Wuhan pneumonia outbreak, still no deaths reported – SCMP https://www.scmp.com/news/china/society/article/3045288/china-confirms-new-coronavirus-it-investigates-mystery-wuhan …"
32,The #WuhanCoronavirus #coronavirus is a godsend for racists. ,#China's mystery pneumonia cases linked to novel coronavirus http://bt.sg/4Q92 pic.twitter.com/rudzryULhJ
33,"WHO DECLARED EMERGENCY.........Wuhan coronavirus cases top 8,000: Live updates ",China says human transmission not ruled out in Wuhan coronavirus outbreak https://www.scmp.com/news/china/society/article/3046173/china-says-human-transmission-not-ruled-out-wuhan-coronavirus …
34,"""...new artificial intelligence technology can automatically mine through news reports and online content from around the world, helping experts recognise anomalies that could lead to a potential epidemic or, worse, a pandemic"" #AI #Innovation #coronavirus ","A Chinese woman has been quarantined in Thailand with a mystery strain of coronavirus just days ahead of the Lunar New Year, when Chinese tourists flock to Thailand, the first time it has been detected outside China. https://reut.rs/35LGgpS  #Wuhan"
35,"Scientists from the Peter Doherty Institute for Infection and Immunity have successfully grown the Wuhan #coronavirus from a patient sample, which will provide expert international laboratories with crucial information to help combat the virus #nCoV2020",Working silently behind the scenes. Here's a hurrah for Chinese scientists and health workers working to understand and respond to the new outbreak of #coronavirus in #Wuhan https://twitter.com/JeremyFarrar/status/1215911599191490560 …
36,Businesses that rely on a steady flow of #Chinese #tourists are bracing for a bigger hit than the one they felt during the 2003 #SARS outbreak https://www.bloomberg.com/news/articles/2020-01-30/tourism-businesses-worldwide-brace-for-a-hit-worse-than-sars via @business #travel #coronavirus,First Death In China From New Coronavirus Pneumonia Outbreak : is SARS back? https://flip.it/SNag8Q 
37,Explainer: Rapid spread of China coronavirus fuels global alarm https://cna.asia/2GPebUF,China reports first death from new type of the coronavirus in Wuhan – Reuters via The Guardian  https://www.theguardian.com/world/2020/jan/11/china-mystery-illness-outbreak-causes-first-death?CMP=share_btn_tw …
38,".@SingaporeAir, @silkair and @flyscoot are cutting capacity to China as novel coronavirus spreads. https://www.singaporeair.com/en_UK/sg/media-centre/news-alert/?id=jgnw1vsv https://www.flyscoot.com/en/announcements/flights-adjustments-in-mainland-china-hong-kong-and-macau #avgeek #aviation #china","Update: A 69-year-old man in China has died from the mysterious coronavirus. He is the second person killed by the disease in less than a week. 
https://nyti.ms/388fWrq https://twitter.com/suilee/status/1217729717874216961 …"
39,"Mr. Go, Don’t ever mention the word “proper”, same goes with you Mr. President, “protocol”... please lang wala kayo nyan!!! Stop your shits!!! #TravelBanNow #coronavirus #coronavirusPH #CoronavirusOutbreak",Japan confirms first case of infection with new China coronavirus https://www.asiaone.com/asia/japan-confirms-first-case-infection-new-china-coronavirus?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter&Echobox=1579191546#xtor=CS2-4 …pic.twitter.com/LcOBErkpBa
40,#coronavirus type beat ,Japan confirms first case of infection with new Wuhan coronavirus https://cna.asia/2u371J4 pic.twitter.com/WxbftYrOGT
