Coronavirus: New Zealand has all but eradicated COVID-19 - but now comes the hard part 
Nous y sommes... #coronavirus 
China confirms new coronavirus as it investigates mystery Wuhan illness https://www.scmp.com/news/china/society/article/3045288/china-confirms-new-coronavirus-it-investigates-mystery-wuhan?utm_content=article&utm_medium=Social&utm_source=Facebook#Echobox=1578538341 …
"WHO Says New China Coronavirus Could Spread, Warns Hospitals Worldwide http://ms.spr.ly/6186TkV9g "
"China Announces 2nd Death From New Coronavirus
 
http://bit.ly/2FXsCp5 "
"The Hubei health authority reported that 56 people died of the coronavirus on Sunday, raising the death toll since the beginning of the outbreak to 361. https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-02-20-intl-hnk/h_3f7c2a76a954a25a8af8ae66dd846f04 …"
"The fear by, coronavirus, global warming hoax, mass migration for UN agenda?"
"RT @shafiur: 13 June #Covid19 test results

Total Tests done: 4
No new cases

#Rohingya"
"Latest count of confirmed #COVID19 cases worldwide at 1000 GMT:
World: 7,669,317
U.S.: 2,048,986
Brazil: 828,810
Ru… https://t.co/yKiQ9DVUdZ"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @IrexitFreedom: Our ChairWoman Professor Dolores Cahill has more expertise,experience and qualifications around #Covid19 than the entire…"
"First time I'm going outside. I wanna see human. 
#instagram #instagramers #today #tomorrow #weather #covid19… https://t.co/KGgGYVdD5B"
