Coronavirus: New Zealand has all but eradicated COVID-19 - but now comes the hard part 
Nous y sommes... #coronavirus 
"RT @shafiur: 13 June #Covid19 test results

Total Tests done: 4
No new cases

#Rohingya"
"Latest count of confirmed #COVID19 cases worldwide at 1000 GMT:
World: 7,669,317
U.S.: 2,048,986
Brazil: 828,810
Ru… https://t.co/yKiQ9DVUdZ"
"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…"
"RT @IrexitFreedom: Our ChairWoman Professor Dolores Cahill has more expertise,experience and qualifications around #Covid19 than the entire…"
"First time I'm going outside. I wanna see human. 
#instagram #instagramers #today #tomorrow #weather #covid19… https://t.co/KGgGYVdD5B"
