Suppose they all got fined too? NAT
"RT @sarahmdonnelly1: As part of the survey, we really want to capture #socialwork #students experiences #Covid19 
Let us know how you're ge…"
RT @Tochmarc_Eimear: Am I hallucinating or is Hannah Montana calling out An Taoiseach Leo Varadkar on the bird app
RT @PaveePoint: Patrick Reilly of Tallaght talks about coping with breaks in family connections during #COVID19 for #MensHealthWeek #MHW202…
"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…"
"RT @Paul_Chemlinked: #china #Beijing reports first cases of community transmission of #COVID19 after over 50 days, linked to 2 seperate mar…"
RT @mir_ocall: ITALY - now starting an inquest into what happened in Lombardy. Conte explaining that his decisions were based on the scienc…
"Parts of Beijing on lock down, I fear a second wave here. Take care my twitter friends, a lot are ignoring it but i… https://t.co/BNkWjqTB7Q"
RT @evelynlyric: Cáit O’Riordan’s advice to #musicians on @RTERadio1 re online performances - “Stop giving it away for nothing.” #covid19
RT @ScienceMagazine: A recent first-of-its-kind study in @SciImmunology suggests that #SARSCoV2 may not spread via fecal-to-oral transmissi…
RT @NEJM: Diabetes is associated with an increased risk of severe Covid-19. New-onset diabetes and metabolic complications of preexisting d…
"RT @GovLarryHogan: Maryland has now completed 483,826 #COVID19 tests, including 10,555 in the past 24 hours. The statewide positivity rate…"
RT @antonioguterres: We have seen such a widespread and damaging expansion of #COVID19 in large part because our multilateral system is not…
RT @Tochmarc_Eimear: Am I hallucinating or is Hannah Montana calling out An Taoiseach Leo Varadkar on the bird app
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
"The plague of locusts will hit in July. #COVID19 #fecked #potato 
https://t.co/2EhgAaH1hB"
"RT @SIPTU: ❝ As the worker representative on the site, I engage with management to ensure the implementation of all safety measures to prev…"
"RT @HumaneAware: Today’s feature is @TOLFAcharity a hospital for sick &amp; injured street #animals in #Rajasthan 🇮🇳 

#COVID19 has severely im…"
RT @newschambers: From the HSE today: The mean number of close contacts per #COVID19 case has increased - now close to where it was in earl…
RT @Tochmarc_Eimear: Am I hallucinating or is Hannah Montana calling out An Taoiseach Leo Varadkar on the bird app
RT @newschambers: From the HSE today: The mean number of close contacts per #COVID19 case has increased - now close to where it was in earl…
