Calm before the storm for #Japan suicides as #coronavirus ravages economy 
For a more informative read on the situation in China #coronavirus 
"673 Corona cases in Palestine with 6 new recorded in last 24 hours

#COVID19 #CoronaVirusUpdates 

https://t.co/iyfJHvntov"
.@UNICEF is providing support to the #COVID19 response in #CaboDelgado province. This support is for the isolation… https://t.co/ti906UnVQv
"Mozambique tested in the last 24 1124 Covid-19 suspected cases, which is a new daily record. 383 of the tests were… https://t.co/mcwNvMBGBw"
RT @grid3global: We're working with @DfidZambia &amp; @UNICEF to develop a community engagement survey tool and exploring analyses to help iden…
Get well soon champ @SAfridiOfficial
"RT @robakhundkar: “Over 150,000 #healthcareworkers infected with #covid19 -numbers rising fast as #LMICs head to their peaks”. Please share…"
