,country,0,negative,positive,neutral,negative_n,positive_n,neutral_n
81,latvia,1,0.0,1.0,0.0,0.0,1.0,0.0
82,lebanon,3,0.0,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333
83,liberia,41,7.0,23.0,11.0,0.17073170731707318,0.5609756097560976,0.2682926829268293
84,libya,4,0.0,4.0,0.0,0.0,1.0,0.0
85,luxembourg,1,0.0,0.0,1.0,0.0,0.0,1.0
86,macao,29,5.0,20.0,4.0,0.1724137931034483,0.6896551724137931,0.13793103448275862
87,madagascar,1,0.0,0.0,1.0,0.0,0.0,1.0
88,malaysia,127,20.0,60.0,47.0,0.15748031496062992,0.47244094488188976,0.3700787401574803
89,maldives,1,0.0,1.0,0.0,0.0,1.0,0.0
90,mali,826,133.0,514.0,179.0,0.16101694915254236,0.6222760290556901,0.21670702179176757
91,malta,7,2.0,3.0,2.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
92,mexico,347,34.0,249.0,64.0,0.09798270893371758,0.7175792507204611,0.1844380403458213
93,monaco,2,0.0,2.0,0.0,0.0,1.0,0.0
94,mongolia,11,3.0,8.0,0.0,0.2727272727272727,0.7272727272727273,0.0
95,montenegro,14,2.0,6.0,6.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
96,montserrat,1,0.0,1.0,0.0,0.0,1.0,0.0
97,morocco,19,2.0,12.0,5.0,0.10526315789473684,0.631578947368421,0.2631578947368421
98,namibia,1,0.0,1.0,0.0,0.0,1.0,0.0
99,nepal,2,0.0,1.0,1.0,0.0,0.5,0.5
100,netherlands,49,8.0,27.0,14.0,0.16326530612244897,0.5510204081632653,0.2857142857142857
101,new caledonia,33,4.0,17.0,12.0,0.12121212121212122,0.5151515151515151,0.36363636363636365
102,new zealand,64,8.0,38.0,18.0,0.125,0.59375,0.28125
103,nicaragua,3,0.0,3.0,0.0,0.0,1.0,0.0
104,niger,1,0.0,0.0,1.0,0.0,0.0,1.0
