,country,0,negative,positive,neutral,negative_n,positive_n,neutral_n
0,afghanistan,1,0.0,0.0,1.0,0.0,0.0,1.0
1,albania,9,2.0,4.0,3.0,0.2222222222222222,0.4444444444444444,0.3333333333333333
2,algeria,1,0.0,0.0,1.0,0.0,0.0,1.0
3,american samoa,2,1.0,1.0,0.0,0.5,0.5,0.0
4,andorra,41,7.0,20.0,14.0,0.17073170731707318,0.4878048780487805,0.34146341463414637
5,angola,3,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333
6,anguilla,1,0.0,0.0,1.0,0.0,0.0,1.0
7,argentina,79,18.0,36.0,25.0,0.22784810126582278,0.45569620253164556,0.31645569620253167
8,armenia,6,3.0,3.0,0.0,0.5,0.5,0.0
9,australia,234,50.0,130.0,54.0,0.21367521367521367,0.5555555555555556,0.23076923076923078
10,austria,33,13.0,14.0,6.0,0.3939393939393939,0.42424242424242425,0.18181818181818182
11,azerbaijan,17,2.0,14.0,1.0,0.11764705882352941,0.8235294117647058,0.058823529411764705
12,bahamas,17,7.0,3.0,7.0,0.4117647058823529,0.17647058823529413,0.4117647058823529
13,bahrain,4,1.0,3.0,0.0,0.25,0.75,0.0
14,bangladesh,4,2.0,0.0,2.0,0.5,0.0,0.5
15,barbados,9,1.0,5.0,3.0,0.1111111111111111,0.5555555555555556,0.3333333333333333
16,belarus,14,6.0,7.0,1.0,0.42857142857142855,0.5,0.07142857142857142
17,belgium,30,6.0,17.0,7.0,0.2,0.5666666666666667,0.23333333333333334
18,belize,2,1.0,1.0,0.0,0.5,0.5,0.0
19,benin,2,2.0,0.0,0.0,1.0,0.0,0.0
20,bermuda,16,7.0,8.0,1.0,0.4375,0.5,0.0625
21,bolivia,23,7.0,12.0,4.0,0.30434782608695654,0.5217391304347826,0.17391304347826086
22,botswana,55,10.0,22.0,23.0,0.18181818181818182,0.4,0.41818181818181815
23,brazil,306,78.0,142.0,86.0,0.2549019607843137,0.46405228758169936,0.28104575163398693
24,british virgin islands,2,1.0,1.0,0.0,0.5,0.5,0.0
25,brunei,4,1.0,3.0,0.0,0.25,0.75,0.0
26,bulgaria,8,1.0,3.0,4.0,0.125,0.375,0.5
27,burkina faso,11,0.0,7.0,4.0,0.0,0.6363636363636364,0.36363636363636365
28,burundi,12,5.0,4.0,3.0,0.4166666666666667,0.3333333333333333,0.25
29,cambodia,3,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
30,cameroon,167,44.0,69.0,54.0,0.2634730538922156,0.41317365269461076,0.32335329341317365
31,canada,1520,378.0,844.0,298.0,0.24868421052631579,0.5552631578947368,0.19605263157894737
32,cayman islands,12,2.0,6.0,4.0,0.16666666666666666,0.5,0.3333333333333333
33,central african republic,7,2.0,3.0,2.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
34,chad,1,0.0,0.0,1.0,0.0,0.0,1.0
35,chile,8,4.0,2.0,2.0,0.5,0.25,0.25
36,china,25,4.0,12.0,9.0,0.16,0.48,0.36
37,christmas island,1,0.0,1.0,0.0,0.0,1.0,0.0
38,colombia,175,53.0,84.0,38.0,0.3028571428571429,0.48,0.21714285714285714
39,comoros,25,4.0,16.0,5.0,0.16,0.64,0.2
40,costa rica,5,1.0,4.0,0.0,0.2,0.8,0.0
41,croatia,1,0.0,1.0,0.0,0.0,1.0,0.0
42,cuba,7,2.0,2.0,3.0,0.2857142857142857,0.2857142857142857,0.42857142857142855
43,czech republic,2,1.0,1.0,0.0,0.5,0.5,0.0
44,denmark,16,5.0,10.0,1.0,0.3125,0.625,0.0625
45,dominica,2,1.0,1.0,0.0,0.5,0.5,0.0
46,dominican republic,6,3.0,1.0,2.0,0.5,0.16666666666666666,0.3333333333333333
47,ecuador,1,0.0,1.0,0.0,0.0,1.0,0.0
48,egypt,20,3.0,10.0,7.0,0.15,0.5,0.35
49,eritrea,1,0.0,0.0,1.0,0.0,0.0,1.0
50,estonia,2,1.0,1.0,0.0,0.5,0.5,0.0
51,ethiopia,1,0.0,1.0,0.0,0.0,1.0,0.0
52,falkland islands,1,0.0,0.0,1.0,0.0,0.0,1.0
53,faroe islands,1,1.0,0.0,0.0,1.0,0.0,0.0
54,fiji,37,12.0,21.0,4.0,0.32432432432432434,0.5675675675675675,0.10810810810810811
55,finland,4,1.0,2.0,1.0,0.25,0.5,0.25
56,france,19,4.0,11.0,4.0,0.21052631578947367,0.5789473684210527,0.21052631578947367
57,gabon,23,3.0,6.0,14.0,0.13043478260869565,0.2608695652173913,0.6086956521739131
58,gambia,1,0.0,1.0,0.0,0.0,1.0,0.0
59,georgia,65,16.0,30.0,19.0,0.24615384615384617,0.46153846153846156,0.2923076923076923
60,germany,38,8.0,20.0,10.0,0.21052631578947367,0.5263157894736842,0.2631578947368421
61,ghana,40,11.0,8.0,21.0,0.275,0.2,0.525
62,greece,18,7.0,7.0,4.0,0.3888888888888889,0.3888888888888889,0.2222222222222222
63,greenland,1,0.0,0.0,1.0,0.0,0.0,1.0
64,grenada,1,1.0,0.0,0.0,1.0,0.0,0.0
65,guadeloupe,1,0.0,1.0,0.0,0.0,1.0,0.0
66,guam,4,1.0,0.0,3.0,0.25,0.0,0.75
67,guernsey,1,1.0,0.0,0.0,1.0,0.0,0.0
68,guinea-bissau,1,0.0,1.0,0.0,0.0,1.0,0.0
69,guyana,5,1.0,4.0,0.0,0.2,0.8,0.0
70,haiti,3,2.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0
71,honduras,3,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333
72,hong kong,11,5.0,4.0,2.0,0.45454545454545453,0.36363636363636365,0.18181818181818182
73,hungary,9,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
74,iceland,22,8.0,9.0,5.0,0.36363636363636365,0.4090909090909091,0.22727272727272727
