,Positive,Negative
0,7,4
1,"I’m just seeing too many celebrities saying stupid shit during tough times. Whether it’s Kobe, Coronavirus, or George Floyd some of y’all just need to just shut the fuck up.","#salonetwiiter WHO has declared Coronavirus as global public health emergency, more worrying for we people den with poor health care, poor hygiene etc @yakisawyerr and every salone person pls help spread awareness. we see watin ebola do to we :( @VickieRemoe @saloneanco"
2,#SierraLeone #coronavirus update. ,The United States president @realDonaldTrump said the same thing to the United States citizen and you know what happened ?? The @WHO director general @DrTedros told us to not worry now we're in a pandemic. The novel Covid19 is scary and we should be worried.
3,I got this news from Ghana: KNUST students give hope in fighting #coronavirus https://news7pm.com/coronavirus/,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
4,"I think it makes sense for @CDCgov to recommend against facemasks because it presents an illusion of control/prevention which, can take away from precautionary measures that actually work. #CoronaVirus #COVID19","Talk to WHO directly for all your enquiries, data and general information about the deadly Corona Virus. – Avoid fake rumors so not to create panic https://joblinksl.com/2020/03/19/talk-to-who-directly-for-all-your-enquiries-data-and-general-information-about-the-deadly-corona-virus-avoid-fake-rumors-so-not-to-create-panic/ …"
5,"Aunt @VickieRemoe There's little or no faith in our medical so called expert, this Covid19 is a novel amongst the group of Coronavirus, there's not much known right now, and we can't be lethargic about anything or everything.",
6, #TheNetherlands confirmed its first case of #COVID19 today. The patient recently visited the #Lombardy region in #Italy for holiday. The patient is isolated in a hospital and contact tracing is underway. #Coronavirus #globalhealthsecurity #globalhealth #publichealth #Nederland,
7,"I got this news from Ghana: KNUST students give hope in fighting #coronavirus 
https://news7pm.com/coronavirus/ https://twitter.com/BNODesk/status/1222995890031538203 …",
8,"Coronavirus pandemic…
Sierra Leone Members of Parliament solidarise with China
http://slconcordtimes.com/coronavirus-pandemic/ …pic.twitter.com/fpHiAHkpEo",
9,Amazing. Really looking forward to meeting this incredible woman as I start core psych training in August. Very ins… https://t.co/QqaEr554kh,
10,RT @VickieRemoe: Got a chance to shoot my amazing dance teacher as a part of this series. Mabinty has spent her whole life performing with…,
11,"#COVID19 is on the move, crossing yet another border. #Morocco announced its first case of #coronavirus this evening. 
Remember to: 
#WashYourHandsFrequently
#CoughSneezeInElbow
#AvoidContactWithTheSick
#AdhereToLocalHealthAdvice
#SaloneTwitter #globalhealthsecurity #COVIDー19https://twitter.com/samirasawlani/status/1234586891611230215 …",
12,#WHO #DirectorGeneral @DrTedros has NOT yet declared a #PublicHealthEmergency of international concern. Decision will be made with consideration of all the evidence. The #EmergencyCommittee deliberates again tomorrow. #publichealth #outbreak #WorldHealthOrganisation #coronavirus https://twitter.com/WHO/status/1220071324405514240 …,
13,I will no longer be graduating in May thanks to the corona virus ,
