,Positive,Neutral,Negative
0,1,,0
1,RT @ANDORRA_UN: Andorra 🇦🇩 is pleased to be one of the 132 signatories supporting #UNSG @antonioguterres UN Communications Response initiat…,,
2,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",,
3,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",,
