,Country/Region,only_date,size
0,South Africa,2020-01-03,1
1,Morocco,2020-01-03,1
2,Japan,2020-01-03,1
3,United Kingdom,2020-01-04,1
4,Kenya,2020-01-04,1
5,Mongolia,2020-01-05,1
6,South Africa,2020-01-06,1
7,Australia,2020-01-06,1
8,Argentina,2020-01-06,1
9,China,2020-01-07,1
10,Netherlands,2020-01-07,1
11,Ireland,2020-01-07,1
12,Netherlands,2020-01-08,2
13,Finland,2020-01-08,1
14,Morocco,2020-01-08,1
15,United Kingdom,2020-01-08,2
16,Cameroon,2020-01-08,1
17,Malaysia,2020-01-08,1
18,Australia,2020-01-08,1
19,Spain,2020-01-08,2
20,Mexico,2020-01-08,1
21,Panama,2020-01-08,1
22,Colombia,2020-01-08,1
23,Canada,2020-01-08,2
24,Mongolia,2020-01-09,1
25,United Kingdom,2020-01-09,8
26,France,2020-01-09,1
27,Austria,2020-01-09,1
28,Germany,2020-01-09,4
29,Spain,2020-01-09,2
30,Philippines,2020-01-09,5
31,Cameroon,2020-01-09,1
32,China,2020-01-09,3
33,Morocco,2020-01-09,1
34,Italy,2020-01-09,1
35,Indonesia,2020-01-09,2
36,Albania,2020-01-09,1
37,Malaysia,2020-01-09,4
38,Australia,2020-01-09,5
39,Japan,2020-01-09,3
40,Qatar,2020-01-09,1
41,Canada,2020-01-09,11
42,Vietnam,2020-01-09,1
43,South Africa,2020-01-09,2
44,Netherlands,2020-01-09,3
45,Singapore,2020-01-09,1
46,Switzerland,2020-01-09,3
47,Turkey,2020-01-09,2
48,Philippines,2020-01-11,3
49,Cameroon,2020-01-11,1
50,Israel,2020-01-11,1
51,India,2020-01-11,1
52,China,2020-01-11,6
53,Uganda,2020-01-11,1
54,Venezuela,2020-01-11,1
55,Canada,2020-01-11,4
56,Netherlands,2020-01-11,1
57,Malaysia,2020-01-11,4
58,Australia,2020-01-11,5
59,Colombia,2020-01-11,1
60,Morocco,2020-01-11,1
61,Spain,2020-01-11,2
62,Germany,2020-01-11,2
63,South Africa,2020-01-11,1
64,Botswana,2020-01-11,1
65,Switzerland,2020-01-11,4
66,United Kingdom,2020-01-11,5
67,Japan,2020-01-11,1
68,Ireland,2020-01-11,1
69,Cameroon,2020-01-12,1
70,Philippines,2020-01-12,1
71,Chile,2020-01-12,1
72,United Kingdom,2020-01-12,1
73,China,2020-01-12,2
74,Turkey,2020-01-12,2
75,Canada,2020-01-12,3
76,Germany,2020-01-12,3
77,Morocco,2020-01-12,2
78,Nigeria,2020-01-12,1
79,United Kingdom,2020-01-13,3
80,Australia,2020-01-13,3
81,Malaysia,2020-01-13,1
82,Singapore,2020-01-13,1
83,Venezuela,2020-01-13,4
84,Turkey,2020-01-13,2
85,Philippines,2020-01-13,2
86,Israel,2020-01-13,1
87,Switzerland,2020-01-13,4
88,Mexico,2020-01-13,1
89,Thailand,2020-01-13,4
90,China,2020-01-13,4
91,Germany,2020-01-13,1
92,Panama,2020-01-13,1
93,Japan,2020-01-13,1
94,Cameroon,2020-01-13,3
95,Morocco,2020-01-13,1
96,France,2020-01-13,1
97,Canada,2020-01-13,9
98,Mongolia,2020-01-13,1
99,Gabon,2020-01-13,1
100,Cameroon,2020-01-14,3
101,Pakistan,2020-01-14,3
102,Eritrea,2020-01-14,1
103,Canada,2020-01-14,17
104,Venezuela,2020-01-14,2
105,Nigeria,2020-01-14,2
106,Zambia,2020-01-14,1
107,Mexico,2020-01-14,1
108,Indonesia,2020-01-14,3
109,Vietnam,2020-01-14,1
110,United Kingdom,2020-01-14,4
111,Italy,2020-01-14,3
112,Germany,2020-01-14,1
113,India,2020-01-14,6
114,France,2020-01-14,4
115,Thailand,2020-01-14,6
116,Philippines,2020-01-14,9
117,Finland,2020-01-14,1
118,Morocco,2020-01-14,1
119,Sweden,2020-01-14,3
120,Cambodia,2020-01-14,2
121,New Zealand,2020-01-14,2
122,Turkey,2020-01-14,1
123,Gabon,2020-01-14,1
124,Malaysia,2020-01-14,3
125,Mongolia,2020-01-14,2
126,Panama,2020-01-14,1
127,Switzerland,2020-01-14,10
128,Niger,2020-01-14,1
129,Fiji,2020-01-14,1
130,Netherlands,2020-01-14,1
131,Japan,2020-01-14,4
132,Spain,2020-01-14,1
133,China,2020-01-14,4
134,Cameroon,2020-01-15,1
135,France,2020-01-15,3
136,Switzerland,2020-01-15,3
137,Thailand,2020-01-15,1
138,Finland,2020-01-15,1
139,Germany,2020-01-15,3
140,Spain,2020-01-15,1
141,Zimbabwe,2020-01-15,1
142,Gabon,2020-01-15,2
143,United Kingdom,2020-01-15,4
144,South Africa,2020-01-15,1
145,Canada,2020-01-15,13
146,Nigeria,2020-01-15,3
147,Belgium,2020-01-15,1
148,Venezuela,2020-01-15,2
149,Tanzania,2020-01-15,1
150,Netherlands,2020-01-15,1
151,Ukraine,2020-01-15,1
152,Israel,2020-01-15,1
153,Sri Lanka,2020-01-15,1
154,Turkey,2020-01-15,3
155,Panama,2020-01-15,3
156,Pakistan,2020-01-15,1
157,Greece,2020-01-15,1
158,Morocco,2020-01-15,1
159,Philippines,2020-01-15,1
160,Malaysia,2020-01-15,2
161,India,2020-01-15,5
162,Australia,2020-01-15,2
163,Vietnam,2020-01-15,2
164,Nigeria,2020-01-16,6
165,Morocco,2020-01-16,2
166,South Africa,2020-01-16,1
167,Nepal,2020-01-16,3
168,Spain,2020-01-16,2
169,Dominican Republic,2020-01-16,1
170,Italy,2020-01-16,2
171,France,2020-01-16,4
172,Brazil,2020-01-16,1
173,United Kingdom,2020-01-16,9
174,Indonesia,2020-01-16,2
175,Mexico,2020-01-16,1
176,Canada,2020-01-16,28
177,Belgium,2020-01-16,1
178,Switzerland,2020-01-16,5
179,Netherlands,2020-01-16,1
180,Australia,2020-01-16,8
181,Maldives,2020-01-16,1
182,Pakistan,2020-01-16,1
183,Uganda,2020-01-16,1
184,Israel,2020-01-16,1
185,Japan,2020-01-16,13
186,Sweden,2020-01-16,1
187,Turkey,2020-01-16,4
188,Malaysia,2020-01-16,4
189,United Arab Emirates,2020-01-16,1
190,Bangladesh,2020-01-16,2
191,China,2020-01-16,2
192,Chile,2020-01-16,1
193,Singapore,2020-01-16,1
194,Thailand,2020-01-16,2
195,Tunisia,2020-01-16,1
196,Philippines,2020-01-16,5
197,Gabon,2020-01-16,1
198,Colombia,2020-01-16,2
199,Germany,2020-01-16,4
200,India,2020-01-16,11
201,Cameroon,2020-01-16,7
202,Vietnam,2020-01-16,1
203,United Arab Emirates,2020-01-17,4
204,Cameroon,2020-01-17,9
205,Nigeria,2020-01-17,5
206,Panama,2020-01-17,2
207,Canada,2020-01-17,33
208,Somalia,2020-01-17,1
209,Netherlands,2020-01-17,2
210,India,2020-01-17,16
211,Eritrea,2020-01-17,2
212,Australia,2020-01-17,8
213,Portugal,2020-01-17,1
214,Philippines,2020-01-17,5
215,Israel,2020-01-17,4
216,Uganda,2020-01-17,1
217,Jamaica,2020-01-17,1
218,Colombia,2020-01-17,1
219,Peru,2020-01-17,1
220,Malaysia,2020-01-17,7
221,Venezuela,2020-01-17,4
222,Montenegro,2020-01-17,1
223,Albania,2020-01-17,1
224,Ireland,2020-01-17,2
225,Morocco,2020-01-17,2
226,Germany,2020-01-17,2
227,Argentina,2020-01-17,1
228,Mongolia,2020-01-17,3
229,Singapore,2020-01-17,3
230,China,2020-01-17,4
231,Switzerland,2020-01-17,7
232,France,2020-01-17,1
233,Japan,2020-01-17,5
234,Gabon,2020-01-17,2
235,Nepal,2020-01-17,3
236,Indonesia,2020-01-17,1
237,Botswana,2020-01-17,2
238,Ghana,2020-01-17,1
239,United Kingdom,2020-01-17,19
240,Turkey,2020-01-17,1
241,Thailand,2020-01-17,7
242,Bangladesh,2020-01-18,1
243,Turkey,2020-01-18,7
244,United Kingdom,2020-01-18,7
245,Australia,2020-01-18,6
246,Mongolia,2020-01-18,1
247,Morocco,2020-01-18,2
248,Spain,2020-01-18,2
249,Fiji,2020-01-18,3
250,Belgium,2020-01-18,1
251,Ukraine,2020-01-18,1
252,Ghana,2020-01-18,1
253,Russia,2020-01-18,1
254,Singapore,2020-01-18,2
255,Ireland,2020-01-18,4
256,Malaysia,2020-01-18,3
257,Azerbaijan,2020-01-18,1
258,Venezuela,2020-01-18,1
259,Germany,2020-01-18,1
260,China,2020-01-18,3
261,New Zealand,2020-01-18,1
262,Indonesia,2020-01-18,2
263,Gabon,2020-01-18,1
264,Somalia,2020-01-18,1
265,Philippines,2020-01-18,2
266,United Arab Emirates,2020-01-18,2
267,Poland,2020-01-18,1
268,Thailand,2020-01-18,7
269,Cameroon,2020-01-18,4
270,Liberia,2020-01-18,1
271,Argentina,2020-01-18,2
272,Panama,2020-01-18,1
273,Saint Lucia,2020-01-18,1
274,India,2020-01-18,17
275,Switzerland,2020-01-18,2
276,Burkina Faso,2020-01-18,1
277,Cambodia,2020-01-18,1
278,Pakistan,2020-01-18,1
279,France,2020-01-18,2
280,Nigeria,2020-01-18,3
281,South Korea,2020-01-18,1
282,South Africa,2020-01-18,1
283,Canada,2020-01-18,20
284,Israel,2020-01-18,1
285,Armenia,2020-01-19,1
286,Luxembourg,2020-01-19,1
287,New Zealand,2020-01-19,2
288,Singapore,2020-01-19,1
289,Switzerland,2020-01-19,7
290,Greece,2020-01-19,1
291,China,2020-01-19,10
292,Malaysia,2020-01-19,1
293,Fiji,2020-01-19,1
294,Maldives,2020-01-19,1
295,Botswana,2020-01-19,1
296,Australia,2020-01-19,8
297,South Africa,2020-01-19,2
298,Cameroon,2020-01-19,4
299,Germany,2020-01-19,3
300,Philippines,2020-01-19,1
301,Italy,2020-01-19,1
302,Nigeria,2020-01-19,6
303,Panama,2020-01-19,1
304,Canada,2020-01-19,32
305,Japan,2020-01-19,2
306,Nepal,2020-01-19,3
307,Mexico,2020-01-19,1
308,India,2020-01-19,17
309,Venezuela,2020-01-19,1
310,Egypt,2020-01-19,2
311,Qatar,2020-01-19,1
312,Finland,2020-01-19,1
313,United Kingdom,2020-01-19,14
314,Sri Lanka,2020-01-19,1
315,Turkey,2020-01-19,3
316,Trinidad and Tobago,2020-01-19,1
317,Indonesia,2020-01-19,8
318,Tunisia,2020-01-19,1
319,Niger,2020-01-19,1
320,Ghana,2020-01-19,1
321,Seychelles,2020-01-21,1
322,Indonesia,2020-01-21,2
323,Nigeria,2020-01-21,2
324,Greece,2020-01-21,1
325,Switzerland,2020-01-21,1
326,Malaysia,2020-01-21,3
327,Norway,2020-01-21,1
328,Chile,2020-01-21,1
329,Cameroon,2020-01-21,4
330,Liberia,2020-01-21,1
331,South Korea,2020-01-21,2
332,Burkina Faso,2020-01-21,2
333,India,2020-01-21,6
334,Singapore,2020-01-21,2
335,Pakistan,2020-01-21,1
336,Sweden,2020-01-21,2
337,Guatemala,2020-01-21,1
338,Niger,2020-01-21,3
339,Brazil,2020-01-21,3
340,United Kingdom,2020-01-21,20
341,Guyana,2020-01-21,2
342,Cambodia,2020-01-21,1
343,Canada,2020-01-21,56
344,Turkey,2020-01-21,9
345,Fiji,2020-01-21,3
346,Panama,2020-01-21,5
347,Morocco,2020-01-21,2
348,Colombia,2020-01-21,6
349,Australia,2020-01-21,23
350,Ethiopia,2020-01-21,1
351,Tunisia,2020-01-21,3
352,Ghana,2020-01-21,20
353,Mexico,2020-01-21,2
354,Italy,2020-01-21,1
355,Philippines,2020-01-21,8
356,Lebanon,2020-01-21,1
357,Egypt,2020-01-21,1
358,Kenya,2020-01-21,2
359,Venezuela,2020-01-21,1
360,Azerbaijan,2020-01-21,2
361,Ecuador,2020-01-21,1
362,Malta,2020-01-21,1
363,Nepal,2020-01-21,1
364,South Africa,2020-01-21,1
365,Saint Vincent and the Grenadines,2020-01-21,1
366,Mali,2020-01-21,2
367,Israel,2020-01-21,6
368,Botswana,2020-01-21,2
369,Mongolia,2020-01-21,3
370,China,2020-01-21,1
371,Ireland,2020-01-21,3
372,Saudi Arabia,2020-01-21,1
373,France,2020-01-21,2
374,Japan,2020-01-21,4
375,Spain,2020-01-21,2
376,Gabon,2020-01-21,5
377,Argentina,2020-01-21,1
378,Trinidad and Tobago,2020-01-21,1
379,New Zealand,2020-01-21,2
380,Seychelles,2020-01-22,1
381,Portugal,2020-01-22,2
382,Austria,2020-01-22,3
383,Egypt,2020-01-22,1
384,Trinidad and Tobago,2020-01-22,2
385,Kenya,2020-01-22,1
386,Nigeria,2020-01-22,6
387,Ukraine,2020-01-22,1
388,Germany,2020-01-22,3
389,Malta,2020-01-22,1
390,Gabon,2020-01-22,6
391,Spain,2020-01-22,1
392,Philippines,2020-01-22,16
393,Italy,2020-01-22,1
394,Finland,2020-01-22,1
395,Georgia,2020-01-22,1
396,Cambodia,2020-01-22,1
397,Jamaica,2020-01-22,1
398,Malaysia,2020-01-22,2
399,Fiji,2020-01-22,2
400,Cameroon,2020-01-22,1
401,Israel,2020-01-22,3
402,Thailand,2020-01-22,1
403,Morocco,2020-01-22,4
404,India,2020-01-22,7
405,Sweden,2020-01-22,1
406,Australia,2020-01-22,19
407,Tunisia,2020-01-22,1
408,Mexico,2020-01-22,7
409,France,2020-01-22,4
410,Mongolia,2020-01-22,2
411,Canada,2020-01-22,76
412,Botswana,2020-01-22,2
413,Norway,2020-01-22,2
414,United Kingdom,2020-01-22,30
415,Brazil,2020-01-22,3
416,Turkey,2020-01-22,7
417,Netherlands,2020-01-22,1
418,Panama,2020-01-22,4
419,Belgium,2020-01-22,1
420,Mali,2020-01-22,2
421,Bolivia,2020-01-22,1
422,China,2020-01-22,3
423,Colombia,2020-01-22,2
424,South Africa,2020-01-22,1
425,Ghana,2020-01-22,5
426,Kuwait,2020-01-22,1
427,Cuba,2020-01-22,2
428,Switzerland,2020-01-22,1
429,South Korea,2020-01-22,1
430,Grenada,2020-01-22,1
431,Pakistan,2020-01-22,1
432,New Zealand,2020-01-22,3
433,Canada,2020-01-23,41
434,Romania,2020-01-23,1
435,Panama,2020-01-23,2
436,Jamaica,2020-01-23,4
437,Chile,2020-01-23,5
438,Georgia,2020-01-23,2
439,Morocco,2020-01-23,1
440,Malaysia,2020-01-23,3
441,Mali,2020-01-23,1
442,Israel,2020-01-23,3
443,Somalia,2020-01-23,2
444,United Kingdom,2020-01-23,27
445,Belize,2020-01-23,1
446,Cameroon,2020-01-23,1
447,New Zealand,2020-01-23,2
448,Japan,2020-01-23,4
449,Singapore,2020-01-23,5
450,Switzerland,2020-01-23,3
451,Mongolia,2020-01-23,2
452,Ireland,2020-01-23,3
453,Spain,2020-01-23,2
454,Liberia,2020-01-23,1
455,India,2020-01-23,5
456,United Arab Emirates,2020-01-23,1
457,Thailand,2020-01-23,3
458,Argentina,2020-01-23,3
459,Colombia,2020-01-23,1
460,Nigeria,2020-01-23,5
461,Gabon,2020-01-23,2
462,Russia,2020-01-23,1
463,Australia,2020-01-23,13
464,Botswana,2020-01-23,3
465,Costa Rica,2020-01-23,1
466,Sri Lanka,2020-01-23,1
467,Philippines,2020-01-23,4
468,Indonesia,2020-01-23,3
469,Brazil,2020-01-23,4
470,Turkey,2020-01-23,10
471,Pakistan,2020-01-23,1
472,Germany,2020-01-23,2
473,Italy,2020-01-23,4
474,Netherlands,2020-01-23,3
475,Ghana,2020-01-23,3
476,Mexico,2020-01-23,1
477,Cuba,2020-01-23,4
478,Estonia,2020-01-23,4
479,Tunisia,2020-01-23,1
480,Dominican Republic,2020-01-23,1
481,Bulgaria,2020-01-23,1
482,China,2020-01-24,2
483,Nigeria,2020-01-24,8
484,Denmark,2020-01-24,1
485,Iceland,2020-01-24,1
486,Germany,2020-01-24,5
487,Somalia,2020-01-24,1
488,France,2020-01-24,6
489,Greece,2020-01-24,1
490,Singapore,2020-01-24,3
491,Cuba,2020-01-24,4
492,Ghana,2020-01-24,9
493,Turkey,2020-01-24,3
494,Colombia,2020-01-24,4
495,Morocco,2020-01-24,3
496,Mali,2020-01-24,2
497,Fiji,2020-01-24,2
498,Georgia,2020-01-24,1
499,Estonia,2020-01-24,1
500,Tunisia,2020-01-24,1
501,Chile,2020-01-24,2
502,Canada,2020-01-24,49
503,Central African Republic,2020-01-24,1
504,Haiti,2020-01-24,1
505,Thailand,2020-01-24,5
506,Trinidad and Tobago,2020-01-24,1
507,South Africa,2020-01-24,1
508,Finland,2020-01-24,1
509,Costa Rica,2020-01-24,1
510,Egypt,2020-01-24,2
511,Niger,2020-01-24,2
512,India,2020-01-24,10
513,Gabon,2020-01-24,28
514,Austria,2020-01-24,1
515,Burkina Faso,2020-01-24,1
516,Malaysia,2020-01-24,1
517,Philippines,2020-01-24,5
518,Russia,2020-01-24,1
519,Ireland,2020-01-24,5
520,Kazakhstan,2020-01-24,1
521,Indonesia,2020-01-24,1
522,Peru,2020-01-24,1
523,Cameroon,2020-01-24,1
524,Azerbaijan,2020-01-24,2
525,Argentina,2020-01-24,5
526,Venezuela,2020-01-24,1
527,Japan,2020-01-24,7
528,Sweden,2020-01-24,1
529,Panama,2020-01-24,2
530,Jamaica,2020-01-24,1
531,Norway,2020-01-24,1
532,Israel,2020-01-24,8
533,Kenya,2020-01-24,2
534,Lebanon,2020-01-24,1
535,Pakistan,2020-01-24,2
536,Albania,2020-01-24,1
537,Spain,2020-01-24,2
538,Sri Lanka,2020-01-24,1
539,Australia,2020-01-24,17
540,United Kingdom,2020-01-24,23
541,Kuwait,2020-01-24,1
542,Brazil,2020-01-24,2
543,Thailand,2020-01-25,1
544,Pakistan,2020-01-25,3
545,Botswana,2020-01-25,2
546,South Africa,2020-01-25,2
547,Tunisia,2020-01-25,1
548,Egypt,2020-01-25,4
549,France,2020-01-25,3
550,Poland,2020-01-25,2
551,Fiji,2020-01-25,1
552,South Korea,2020-01-25,2
553,Libya,2020-01-25,1
554,Seychelles,2020-01-25,2
555,Philippines,2020-01-25,4
556,China,2020-01-25,1
557,New Zealand,2020-01-25,2
558,Montenegro,2020-01-25,1
559,Ireland,2020-01-25,2
560,Liberia,2020-01-25,1
561,Japan,2020-01-25,3
562,United Kingdom,2020-01-25,27
563,Brazil,2020-01-25,4
564,Indonesia,2020-01-25,2
565,Australia,2020-01-25,13
566,Argentina,2020-01-25,2
567,Italy,2020-01-25,1
568,Morocco,2020-01-25,4
569,Mali,2020-01-25,2
570,Belgium,2020-01-25,1
571,Malaysia,2020-01-25,6
572,Kenya,2020-01-25,1
573,Israel,2020-01-25,6
574,Lebanon,2020-01-25,1
575,Gabon,2020-01-25,1
576,Mongolia,2020-01-25,1
577,United Arab Emirates,2020-01-25,1
578,Tanzania,2020-01-25,1
579,Nigeria,2020-01-25,10
