,Positive,Negative
30,More here from @inzyrashid on what was in the @ProfKevinFenton’s report. It’s a scandal that we are having to rely… https://t.co/1Ky9afaIxa,
31,"SA To Make 10 000 Cheap Ventilators

For more on this story visit our website 
https://t.co/QZgOqK2EZ0
.
.
.
.
.
.… https://t.co/nFbt42zJYI",
32,"RT @LeninChisaira: Join me tomorrow as we discuss ""Human Rights and Civil Liberties under Indefinite Lockdown in #Zimbabwe"" | #TheBigConver…",
33,"RT @XHNews: There have been coordinated efforts on social media to spread rumors that the #coronavirus is a bioweapon created by China, say…",
34,"RT @GreatBritishBB: 12 member stories written today. The innovation, resilience and creativity of the UK’s #SmallBusinesses in the face of…",
35,RT @IFAD: Agricultural extension services play a fundamental role is the work of producers and it is crucial to continue to provide them wh…,
36,"We are doing something really inspiring with young people in Mbare...

At what age does one stop being considered a… https://t.co/ZSJhBpqGWQ",
37,RT @PachotoTribe: Young girls who are not going to school due to lockdown restrictions put in place due to #Covid19 tend to occupy themselv…,
38,"RT @zambezi40: Gogo Project, #Mbare #Zimbabwe 🇿🇼

Our youth led project supports grandmothers/grandchildren with basic groceries, #mentalhe…",
39,RT @Wamagaisa: I hear Delish Nguwaya is appearing in court concerning Drax Investments and scandalous #COVID19  procurement deals. Let’s go…,
40,"RT @thenanobel: Thank you, @Olimex. Any kind of contribution to #PublicHealth always advances mankind ahead. Now, during this #COVID19 pand…",
41,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…",
42,RT @ernestngBRO: If #covid19 was an anime PART 11 (1/3) https://t.co/PPdKJE1NM4,
43,"Creating memories for our life during #Covid19

🗓 Day 5/7 of #mylifeinpictures
❌ words &amp; people 
Just 📸 

🔸Challeng… https://t.co/S6KPCQqyL5",
44,RT @enactus: Enactus MSI in @EnactusIndia created a #COVID19 fundraiser for individuals to show their art for a registration fee. Proceeds…,
45,"RT @chidodc: We are doing something really inspiring with young people in Mbare...

At what age does one stop being considered as a young p…",
46,"RT @C19Foundation: A brand new charity to help all those affected by #COVID19.

Please help us off the ground. A FOLLOW/RT would be greatly…",
47,"RT @Mwebantu: #COVID19 UPDATE: As of 12th June, 2020, #Zambia recorded 28 new cases (out of 1,059 tests) and 26 recoveries. https://t.co/IT…",
48,"During the #Covid19 lockdown @itvnews television programmes reached 44 million people, that's 72 percent of the UK… https://t.co/pI3hZaWW2t",
49,"RT @communitypodium: Update #Covid19 #Zimbabwe as at 12 June 2020.
11 new positive cases
343 total confirmed cases 
0 new recoveries (51 to…",
50,Our own @stanleymgmza was on @ZBCtv YGT giving a feedback on #WorldEnvironmentDay and how #COVID19 has affected the… https://t.co/hxQmATOjJz,
51,"RT @superone1950: 5 positive #COVID19 
In #Salem",
52,"RT @PDChina: Confirmed #COVID19 cases have exceeded 7.6 million globally, with over 425,000 fatalities and more than 3.6 million recoveries…",
53,RT @AyiccZim: Our own @stanleymgmza was on @ZBCtv YGT giving a feedback on #WorldEnvironmentDay and how #COVID19 has affected the #environm…,
54,"RT @GrumpyOldDoc: How to release lockdown

With a handful of new cases a day, not thousands, and a functional contact tracing system, not t…",
55,WOOOOOOOOOOOOOOOOAH,
56,RT @friendshipbench: The global response has been to treat #covid19 as a vertical disease rather than addressing the full ecosystem of our…,
57,"RT @robakhundkar: “Over 150,000 #healthcareworkers infected with #covid19 -numbers rising fast as #LMICs head to their peaks”. Please share…",
58,"RT @iloharare: In the face of #covid19, we run the risk of sliding backwards, lets not be discouraged in fighting child labour. #WDACL is a…",
59,Where do you stand with your landlord? Poll in the thread #COVID19,
60,It must be this Gvt which is worse than coronavirus,
61,Fresh coronavirus fears as Zimbabwe quarantines Chinese visitor from Hunan https://zwnews.com/fresh-coronavirus-fears-as-zimbabwe-quarantines-chinese-visitor-from-hunan/ …pic.twitter.com/12z3TrbnnN,
62,Zimbabwe: Coronavirus - Zimbabwe Businesses Count Cost of Economic Impact: https://is.gd/h8FLOp pic.twitter.com/2J4DRuBWzU,
