,Positive,Negative
28,,"RT @afronomicslaw: Our #Webinar #Series II registration is now open. 

Theme:
""Vulnerability in the Trade and Investment Regimes in the Age…"
29,,"RT @UN_Women: In some countries, #COVID19 infections among female health workers are 2x that of their male counterparts. 

Governments must…"
30,,"RT @jdmasaki: Thread 🧵 
Economic Impact of the #COVID19 pandemic on Tanzania's Economy 

RESPOND.RECOVER.THRIVE
1/ https://t.co/1ZTI2JfMLD"
31,,"RT @antonioguterres: Saturday marks the 100-day countdown to #PeaceDay.

We are living through a difficult time, but we can turn the #COVID…"
32,,RT @wef: Chart of the day: These countries normally have the highest international tourist numbers https://t.co/JvUVlXxIjS #Tourism #COVID1…
33,,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
34,,RT @SeifGoga: It is well known that being in school is that it increases a young people’s ability. The #COVID19 pandemic has interrupts the…
35,,"RT @Mwebantu: #COVID19 UPDATE: As of 12th June, 2020, #Zambia recorded 28 new cases (out of 1,059 tests) and 26 recoveries. https://t.co/IT…"
36,,"RT @nbstv: Jane Ruth Aceng: Ever since we started testing, we have done a total of 148,960 samples of #COVID19. Initially, COVID19 testing…"
37,,“See food diet” 😋🤤
38,,COVID-19 Highlights the Need for Universal Health Coverage | Think Global Health #UHC #COVID19  https://t.co/908BEfJXDZ
39,,The Show Will Not Go On: Austin Cancels SXSW Because Of Coronavirus https://ift.tt/2vzvuad 
40,,"U.S. eyes direct deposit to workers, tax delays, airline aid in fight against coronavirus https://www.reuters.com/article/us-health-coronavirus-usa-spending/u-s-eyes-direct-deposit-to-workers-tax-delays-airline-aid-in-fight-against-coronavirus-idUSKBN20Y297?feedType=RSS&feedName=topNews?utm_source=thedextazlab …"
41,,"Coronavirus disrupts U.S. schools, sports, late-night television https://www.reuters.com/article/us-health-coronavirus-usa/coronavirus-disrupts-u-s-schools-sports-late-night-television-idUSKBN20Y1Z0?feedType=RSS&feedName=topNews?utm_source=thedextazlab …"
42,,"Let us pray, coronavirus doesn't chose, it can affect anybody, take care."
