,Positive,Neutral,Negative
15,"*cs my other tweet was deleted* lol 
ANYWAYS!!!! like I said. extremely glad I didn’t follow my sister to this campus. All these people care about is money and not the wellbeing and health of their students pay their bills  #CoronavirusOutbreak #coronavirus https://twitter.com/TAMU/status/1220450281504362498 …","#Coronavirus A #Belgian prince has contracted coronavirus after attending a party during #lockdown in #Spain, the country's royal palace says. #LockdownHouseParty #PrinceJoachim, 28, travelled from #Belgium to #Spain for an internship on 26 May, the palace said. Source: BBC","As the pandemic cancels flights, Uruguay turns its airport into a drive-in | Coronavirus outbreak | The Guardian "
16,"""The Red and White coats are coming!""  Said literally no one...EVER.  Invading with intentions of spreading their overpoweringly strong manners like the Coronavirus",Coronavirus wave 2 coming in from all the people protesting.,"The number of confirmed coronavirus cases rose by more than 1,200 in Texas to surpass 61,000 with 25 additional deaths due to COVID-19, the disease caused by the deaths. "
17,I’m anxious about the coronavirus but that does look like a nice curve fit so I guess it evens out https://twitter.com/MeloB4ll/status/1223024646288601088 …,"Coronavirus May Be a Blood Vessel Disease, Which Explains Everything by @SmithDanaG in @elemental",Coronavirus: Shocking Spread of a Viral Pandemic https://youtu.be/aXlm2fdQSoo via @YouTube
18,First Patient With Wuhan Coronavirus Is Identified in the U.S. https://www.nytimes.com/2020/01/21/health/cdc-coronavirus.html …,Ensuring Biodiversity Now will Prevent Pandemics Later https://bit.ly/2ZT1fYA #Biodiversity #pandemics #COVID19Pandemic #Coronavirus ,@ibxtoycat Are you concerned about Corona virus during your travels this year?
19,"@McNhlapo please share RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",Coronavirus a has been the TOP excuse to bail on plans. #2020,"Those won't help you! You have to be ""fitted"" for them in order to work. BTW the FLU has killed more than 8,000 people this season than the stupid Corona virus"
20,"@UN_Enable please share RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",What Actually Happens If You Get Coronavirus? ,San Antonio News WHO Declares Coronavirus Outbreak an International Emergency - Bloomberg Markets and Finance 
21,"@disasterstrat please RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",“I have CoronaVirus”,Percent of Critical & Serious cases seem to be dropping without an increase in CFR. Additional resources and workers seem to be making a difference in Wuhan. #ncov #coronavirus 
22,"@DisabRightsFund please share RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",You got coronavirus,WCS Calls for Closing Live Animal Markets that Trade in Wildlife in Wake of Wuhan Coronavirus Outbreak &gt; Newsroom https://newsroom.wcs.org/News-Releases/articleType/ArticleView/articleId/13738/WCS-Calls-for-Closing-Live-Animal-Markets-that-Trade-in-Wildlife-in-Wake-of-Wuhan-Coronavirus-Outbreak.aspx
23,"@MyEDF RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",Google launches 'SOS Alert' with WHO in response to the coronavirus http://bit.ly/31dqSSj, BREAKING NEWS: Chile's Ministry of Health @ministeriosalud rules out case of #coronavirus in northern city of Mejillones after arrival of ship that was in China 
24,"@PAHOemergencies please share RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",same energy #coronavirus ,Whistleblower Claims ‘Corrupt Cover-Up’ Of Dangerous Coronavirus Quarantines https://www.infowars.com/whistleblower-claims-corrupt-cover-up-of-dangerous-coronavirus-quarantines/ #coronavirus #COVID19 #kungflu
25,"@WHO please share RECOMMENDATIONS FOR HEALTH PROTECTION OF PEOPLE WITH
DISABILITIES DURING OUTBREAKS: LESSONS LEARNED FROM THE
2019 NOVEL CORONAVIRUS http://onginclusiva.com/onginclusiva/wp-content/uploads/2020/02/RECOMMENDATIONS-FOR-HEALTH-PROTECTION-OF-PEOPLE-WITH-DISABILITIES-DURING-OUTBREAKS.pdf …",The Coronavirus Is Now Infecting People Who Haven't Traveled to China | WIRED ,"Coronavirus: WHO warns virus could spread to every country, Mexico confirms first cases https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-outbreak.html?__source=sharebar|twitter&amp;par=sharebar #coronavirus #COVID19 #kungflu"
26,Coronavirus was apparently initially carried by the pangolins. I thought we were cool Pangolins ,Coronavirus knows better than to mess with @kaskade,"Chinese Report Says Illnesses may be From New Coronavirus
https://www.theepochtimes.com/chinese-report-says-illnesses-may-be-from-new-coronavirus_3197674.html …

For the latest US and political news download The Epoch Times app now!https://ept.ms/2mCEjel "
